applicant_id,age,income,loan_amount,credit_score,employment_years,city,defaulted
1001,25,45000,15000,720,2,New York,0
1002,40,85000,25000,680,10,Chicago,0
1003,29,52000,20000,590,3,San Francisco,1
1004,35,,18000,710,7,New york,0
1005,50,120000,50000,650,20,Los Angeles,0
1006,23,38000,12000,580,1,Chicago,1
1007,31,67000,30000,700,5,San Francisco,0
1008,45,99000,45000,,15,Los Angeles,0
1009,38,72000,-5000,710,12,New York,0
1010,27,48000,22000,610,4,Chicago,1
1011,33,61000,26000,695,6,San francisco,0
1012,60,140000,60000,730,30,Los Angeles,0
1013,22,30000,10000,560,0,Chicago,1
1014,41,88000,35000,675,14,New York,0
1015,36,75000,28000,705,9,Los Angeles,0
1016,28,54000,21000,620,3,San Francisco,1
1017,48,110000,48000,690,18,Chicago,0
1018,26,46000,17000,640,2,New York,1
1019,39,82000,33000,715,11,Los Angeles,0
1020,34,59000,24000,605,6,San Francisco,1
